Data;Nota;Título;Preço Venda
30/05/2025;369;SOCIOLOGIA DAS RELIGIOES;40
03/06/2025;370; Pedagogias da Beleza;30
03/06/2025;371;DA SENZALA A COLONIA - 5. EDIC;81,6
04/06/2025;372;SOBRE O MAL;38,4
04/06/2025;372;POLIMATA, O;75,2
04/06/2025;372;MATERIALISMO;43,2
04/06/2025;372;Promocional;5
06/06/2025;373;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;59,2
06/06/2025;373;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;59,2
09/06/2025;374;Ensaios sobre língua e linguagem;63,6
09/06/2025;374;Mitos da Terra-Média: mitologia e modernidade na obra de J.R.R. Tolkien;26,7
09/06/2025;375;REVOLUCAO ALEMA - 2. EDICAO, A;30,4
09/06/2025;375;REVOLUCAO CHINESA, A;30,4
09/06/2025;376;FIGURA DO HEROI ANTIGO NAS CRO;30,4
10/06/2025;377;A divinação;55
10/06/2025;378;1a ed. IMPRESSAO E EXPRESSAO: FORMAS DO IMEDIATO EM WALTER BENJAMIN;35,2
10/06/2025;379;1a ed. IMPRESSAO E EXPRESSAO: FORMAS DO IMEDIATO EM WALTER BENJAMIN;39,2
10/06/2025;379;1a ed. LITERATURA PARA QUE ?;18,4
10/06/2025;379;SEGREDOS DAS PALAVRAS, OS;35,2
10/06/2025;379;LINGUISTICA CARTESIANA;49,6
10/06/2025;380;OUTROS/LIVRO PATRIMONIOHISTORIAS DE UM BAIRRO EM QUADRINHOS;30
10/06/2025;380;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;56
10/06/2025;380;1a ed. O QUE EXISTE? O QUE NAO EXISTE?;26,4
12/06/2025;382;Mitos da Terra-Média: mitologia e modernidade na obra de J.R.R. Tolkien;26,67
11/06/2025;383;A igreja como poder eclesiástico e civil em Thomas Hobbes;56,67
11/06/2025;383;1a ed. MARAVILHAS DO MUNDO ANTIGO - HERODOTO, PAI DA HISTORIA?;31,2
11/06/2025;384;VIDA EM COMUM, A;51,2
11/06/2025;385;"A noção de alma na ""Suma de Teologia"" de Tomás de Aquino";30
12/06/2025;386;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;59,2
13/06/2025;387;UMA LATENTE FILOSOFIA DO TEMPO;38,4
13/06/2025;388;UM NATURALISTA NO ANTROPOCENO;47,2
13/06/2025;388;DESESPERO HUMANO, O;51,2
13/06/2025;388;O que a escola faz? Elementos para a compreensão da vida escola;35
13/06/2025;388;PERSPECTIVAS DO ENSINO DE HISTÓRIA;20
13/06/2025;389;INFORMACAO E IMAGINARIO;49,6
13/06/2025;389;1a ed. ATLAS OU O GAIO SABER INQUIETO - O OLHO DA HISTORIA, III;68,8
18/06/2025;390;Promocional;5
18/06/2025;390;ONTEM AO LUAR;25
23/06/2025;391;NIETZSCHE - O MUNDO DA TERRA;33,6
23/06/2025;392;MATERIALISMO;43,2
24/06/2025;393;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;64
24/06/2025;394;ARTE/EDUCACAO COMO MEDIACAO CU;60,8
25/06/2025;395;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;396;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;397;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;398;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;399;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;400;BIOHQ3 insetos BIOLOGIA EM QUADRINHOS;48
26/06/2025;401;HISTORIA ECONOMICA DA ESCOLA;54,4
26/06/2025;402;Mitos da Terra-Média: mitologia e modernidade na obra de J.R.R. Tolkien;26,5
27/06/2025;403;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;59,2
30/06/2025;404;Promocional;5
